gravity,len,bulk-den,saturated,met_conc,Qr,Qs,Ks-soil,Disp.,FRAC,Kd,Alpha,poro,flux,init_rate,BRT,line_velocity,sorption capacity,percentage
1,27,1.638,1,0.01,0.0247,0.3441,0.07832,0.156,0.66543,0.22408,0.0087303,0.33,0.081487348,1.6,372,0.072580645,3.55E-03,51.74%
1,27,1.5362,1,0.01,0.035,0.324,0.6372,0.8052,0.221,0.05107,0.11022,0.3244,0.855617152,16.8,29,0.931034483,2.19E-03,36.68%
1,60,1.7748,1,0.01,0.0495,0.3036,0.09964,1.198,0.72589,0.38437,0.00027589,0.31,0.121097043,6.087,1030,0.058252427,7.40E-03,63.15%
1,27,1.7325,1,0.01,0.035,0.3146,0.08537,0.0866242,0.77514,0.55201,0.023075,0.31,0.086580307,1.7,513,0.052631579,6.04E-03,63.60%
1,60,1.7377,1,0.01,0.05,0.3132,0.059592,0.61465,0.077893,0.17983,0.0054108,0.3,0.056301073,2.83,3920,0.015306122,3.10E-03,14.63%
1,27,1.7438,1,0.01,0.0499,0.3116,0.05143,0.72117,0.64757,0.36256,0.099691,0.3,0.045836633,0.9,2239.604,0.012055703,1.39E-02,63.84%
1,27,1.59,0,0.01,0.0528,0.3563,0.12074,0.17067,0.89942,0.10201,0.01196,0.31,0.050929592,1,331,0.081570997,3.22E-03,82.12%
1,27,1.63,0,0.01,0.0519,0.3441,0.25017,0.44904,0.50647,0.039202,0.010786,0.29,0.051,1,289,0.093425606,1.85E-03,55.41%
1,27,1.76,0,0.01,0.0497,0.3074,0.065741,0.53063,0.8596,0.105,0.001937,0.26,0.027160752,0.5333,1465,0.018430034,5.92E-03,70.65%
1,27,1.77,0,0.01,0.0496,0.3048,0.041546,0.21364,0.9356,0.935,2.69E-04,0.28,0.020657043,0.4056,4155,0.006498195,1.57E-02,87.61%
1,60,1.6,0,0.02,0.0525,0.3532,0.31,0.449,0.5,0.05,1.20E-02,0.3532,0.051,2.563539072,580,0.103448276,3.69E-03,59.81%
1,60,1.63,0,0.02,0.0519,0.3441,0.25,0.42,0.3,0.11,1.20E-02,0.3441,0.1,5.0265472,535,0.112149533,4.48E-03,40.93%
1,60,1.65,0,0.02,0.0515,0.3381,0.2,0.6,0.5,0.22,1.00E-02,0.3381,0.2,10.0530944,455,0.131868132,7.53E-03,40.94%
1,60,1.7,0,0.02,0.0505,0.3236,0.07,0.7,0.6,0.17,1.00E-02,0.3236,0.05,2.5132736,1235,0.048582996,6.91E-03,57.06%
1,60,1.72,0,0.04,0.0502,0.318,0.05,0.5,0.5,0.1,1.00E-02,0.318,0.03,1.50796416,1410,0.042553191,9.69E-03,59.10%
1,60,1.8,0,0.04,0.0493,0.2973,0.03,0.2,0.3,0.35,1.00E-02,0.2973,0.03,1.50796416,3070,0.019543974,1.28E-02,37.53%
1,60,1.5,1,0.005,0.0545,0.3843,0.6,0.8,0.221,0.05,1.00E-01,0.3843,0.6,30.1592832,70.7,0.848656294,1.34E-03,56.88%
1,60,1.58,1,0.005,0.053,0.3594,0.12074,0.17067,0.89942,0.1,1.00E-02,0.3594,0.12,6.03185664,349,0.171919771,1.86E-03,84.24%
1,27,1.6,1,0.04,0.0525,0.3532,0.08,0.15,0.7,0.22408,1.00E-02,0.3532,0.08,1.570796,439,0.061503417,1.82E-02,56.00%
1,27,1.68,1,0.04,0.0509,0.3293,0.11,0.6,0.5,0.22408,1.00E-02,0.3293,0.11,2.1598445,380,0.071052632,1.44E-02,39.00%
0,24,1.55,1,0.005,0.0536,0.33799,1.02498,0.1738,0.1191,0.08549,0.01389,29.90%,0.083333,0.444,285,0.084210526,1.14E-03,35.63%
0,24,1.62,1,0.01,0.0521,0.3099,0.906083,0.1211,0.179,0.07026,0.01868,27%,0.083333,0.444,236.4286,0.101510562,2.07E-03,40.65%
0,24,1.54,1,0.0025,0.0538,0.3473,1.107,0.0936,0.1745,0.085324,0.01476,31.50%,0.083333,0.444,295,0.081355932,6.16E-04,36.93%
0,24,1.55,1,0.02,0.0536,0.36,1.1812,0.1043,0.2159,0.07045,0.02103,31.50%,0.083333,0.444,221.875,0.108169014,4.94E-03,49.49%
0,24,1.56,1,0.04,0.0534,0.3656,1.00978,0.09549,0.162,0.03641,0.02179,32.90%,0.083333,0.444,212.5,0.112941176,9.66E-03,50.88%
0,24,1.67,1,0.0025,0.0511,0.2863,0.8195,0.2117,0.1451,0.0742,0.01851,28.30%,0.125,0.666,195,0.123076923,4.71E-04,30.84%
0,24,1.6,1,0.005,0.0525,0.3201,1.391,0.1015,0.1636,0.07202,0.0282,29.40%,0.125,0.666,160,0.15,1.07E-03,40.81%
0,24,1.6,1,0.01,0.0525,0.308,0.931,0.1498,0.18,0.08475,0.02726,26.70%,0.125,0.666,155,0.15483871,2.07E-03,40.94%
0,24,1.67,1,0.02,0.0511,0.2736,1.02,0.4376,0.2421,0.07422,0.02684,25.90%,0.125,0.666,139,0.172661871,3.61E-03,41.54%
0,24,1.58,1,0.04,0.053,0.3333,0.977319,0.2168,0.08277,0.0187,0.00876,29.00%,0.125,0.666,79.46154,0.302032908,8.32E-03,79.09%
0,24,1.66,1,0.0025,0.0513,0.2649,1.012,0.3581,0.1112,0.05809,0.02609,25.90%,0.166667,0.888,135,0.177777778,4.23E-04,29.85%
0,24,1.63,1,0.005,0.0519,0.2798,1.1157,0.1992,0.1986,0.09953,0.02811,26.00%,0.166667,0.888,118.6364,0.202298789,9.40E-04,37.08%
0,24,1.59,1,0.01,0.0528,0.3132,0.9796,0.1179,0.1569,0.08054,0.03524,28.90%,0.166667,0.888,108.2143,0.221782149,2.06E-03,43.39%
0,24,1.55,1,0.02,0.0536,0.3159,1.02498,0.1541,0.1864,0.07501,0.03362,30.20%,0.166667,0.888,102.8571,0.233333431,4.26E-03,46.06%
0,24,1.58,1,0.04,0.053,0.3157,1.135,0.1573,0.1766,0.05154,0.0387,29.40%,0.166667,0.888,91.5625,0.262116041,8.18E-03,50.63%
0,24,1.59,1,0.0025,0.0528,0.3125,1.1741,0.1627,0.126,0.07543,0.0309,29.00%,0.208333,1.111,105,0.228571429,5.13E-04,35.65%
0,24,1.53,1,0.005,0.054,0.3327,1.05298,0.1422,0.08887,0.08885,0.0379,30.90%,0.208333,1.111,92,0.260869565,1.09E-03,41.57%
0,24,1.61,1,0.01,0.0523,0.3073,0.9677,0.2885,0.1519,0.06353,0.03169,28.70%,0.208333,1.111,90,0.266666667,1.97E-03,40.51%
0,24,1.66,1,0.02,0.0513,0.2958,0.90781,0.40771,0.1026,0.05398,0.03831,25.90%,0.208333,1.111,72,0.333333333,3.65E-03,48.27%
0,24,1.58,1,0.04,0.053,0.3182,1.00772,0.1605,0.1769,0.04597,0.04133,30.20%,0.208333,1.111,76.5,0.31372549,8.29E-03,49.09%
